name,tempo,beat_strength,energy_mean,energy_std,dynamic_range,chroma_mean,chroma_std,spectral_centroid,spectral_contrast,spectral_rolloff,spectral_flatness,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,zcr_mean,label
Let Her Go,143.5546875,1.2922429,0.08643812,0.03464012,0.23032734,0.27232146,0.28293195,1003.7948579787316,28.45007406441715,1888.0719164207624,0.0035401923,-280.7041,69.74899,153.65988,36.469227,8.773913,17.462742,21.317806,13.118013,10.512794,10.781649,1.2518946,8.926559,-9.108878,8.447662,-11.768422,8.250974,-5.6800594,10.214629,-5.493132,8.903789,-18.42035,12.134015,-17.372833,8.437683,-14.178481,8.468252,0.044152416311919504,0
Good Enough,129.19921875,1.0571927,0.104488656,0.058273133,0.2529924,0.2661491,0.2938648,1527.317580484452,25.219607376458125,3110.7728562487905,0.018817268,-246.10239,131.33981,137.0958,57.531147,41.133533,29.004028,12.257098,19.332981,-0.83522093,11.123466,2.228222,14.454655,1.4546536,10.305189,-11.7396965,10.476876,-3.4360816,10.726093,-4.4420114,9.72448,-6.402535,12.13603,-2.774075,9.538774,-5.0621567,8.820843,0.06622560105456657,0
Cold Cold Man,112.34714673913044,1.3505312,0.2393601,0.10505248,0.5155324,0.364575,0.26762116,2184.886366189743,22.613983773751574,4881.345483171682,0.022809029,-73.50871,97.746025,89.4863,22.371914,-3.7453647,24.83825,26.61778,15.5879545,-4.0128946,14.204255,11.002181,14.209607,4.227655,7.8795967,17.032803,6.5592685,8.511028,9.504499,13.656474,7.0739822,1.4970582,6.479738,8.832908,6.0963826,3.0521698,7.3959813,0.07907661934017028,1
Part Of Me,129.19921875,1.7722285,0.17952676,0.12128109,0.40935254,0.642149,0.21972206,2364.7223285179775,23.17603854110955,4704.246554064677,0.02500974,-134.63309,125.308044,87.02836,38.154533,-15.562126,24.283255,21.204454,16.231777,3.5344582,15.028359,5.776042,13.391219,1.776549,11.811523,2.0147512,11.210846,-1.3613386,8.960781,4.340643,11.214281,-4.661141,9.500129,4.4598713,9.554041,-3.639434,9.735612,0.12669802450174147,0
Mica Van Gogh,103.359375,1.2795798,0.15978199,0.05216697,0.2878482,0.5250159,0.24694513,3453.8181045803044,20.013816035508395,6939.616370422552,0.1046998,-47.475166,86.94013,39.646225,21.504967,8.994677,17.772448,35.6559,18.57671,8.06726,11.676922,8.801924,10.784496,1.7358195,9.5268955,12.09749,8.811731,0.4028392,8.581281,3.7998962,7.7671094,-0.05838778,7.1534076,2.3933387,7.2600565,-3.2289379,6.5738826,0.191170801688274,1
Numb,112.34714673913044,1.1344082,0.19455956,0.12239849,0.52420133,0.39212912,0.25947642,2256.092892146387,22.58569141776764,4410.18166556816,0.03305424,-98.58925,146.03307,89.161606,41.131645,-10.477447,22.720911,18.035442,17.058653,-0.422066,18.243746,-1.1797479,13.813311,-8.797734,16.608223,5.2412906,7.658159,6.5866036,10.727457,2.221735,10.173323,-2.715879,12.13405,5.100796,9.89898,2.2422907,9.504973,0.10955564894543343,0
Time,117.45383522727273,0.3729291,0.026852982,0.011819636,0.069809854,0.3803745,0.268976,232.44594483457217,24.51288191903371,348.0145622702206,0.003856946,-555.05023,24.96762,139.53163,26.996504,93.28138,13.765379,50.39601,10.72383,28.097118,7.7450366,22.50112,5.6094623,21.08104,7.4969597,17.203981,8.082963,11.960626,5.9990077,7.84746,5.856316,5.191458,6.1022696,3.4744768,5.15284,2.8890076,5.248978,0.014382377128482973,1
Numb,112.34714673913044,1.1344082,0.19455956,0.12239849,0.52420133,0.39212912,0.25947642,2256.092892146387,22.58569141776764,4410.18166556816,0.03305424,-98.58925,146.03307,89.161606,41.131645,-10.477447,22.720911,18.035442,17.058653,-0.422066,18.243746,-1.1797479,13.813311,-8.797734,16.608223,5.2412906,7.658159,6.5866036,10.727457,2.221735,10.173323,-2.715879,12.13405,5.100796,9.89898,2.2422907,9.504973,0.10955564894543343,0
Everyday Life,123.046875,0.98115724,0.025713097,0.014984966,0.083675906,0.40854073,0.2584336,1537.7311192388997,23.296503280867615,2568.20947038869,0.003998373,-312.5934,90.68539,133.70564,22.720493,-52.719814,15.672466,2.3566208,12.039858,-11.893399,9.503277,-25.68958,8.79932,-27.55424,7.0237823,-14.820281,6.473634,-13.1256895,6.9982495,-8.680209,6.27554,-15.094731,6.2712874,-0.86431146,7.043264,-0.7885053,6.9429812,0.09807159140383127,0
More Than You Know,123.046875,1.410014,0.16966923,0.09304019,0.52848965,0.45225778,0.2815994,2494.545380554126,23.929929384583478,4879.1454964747,0.024531815,-80.89953,70.834236,81.87289,34.43792,-35.33329,39.16485,6.271455,17.311043,2.5171072,19.15387,-4.0596914,9.751659,-19.121185,14.580041,-9.308066,9.930697,-10.082913,12.563231,-3.6453495,11.175499,-10.5771475,10.619877,-2.265046,9.931581,-3.925377,8.288279,0.13887633332527088,1
Ho amato tutto,95.703125,0.82063395,0.031328637,0.02676132,0.16650724,0.29877263,0.29609615,1002.2715871394423,24.92207705068334,1896.8801964916313,0.015839126,-376.75528,106.897575,149.74515,51.823723,32.836796,30.978271,7.3171,14.024507,3.6692429,14.668376,5.439267,9.974374,2.0990906,9.827856,-4.621361,7.837659,-8.122473,7.4837055,-3.4525552,7.369877,-5.87687,7.0151434,-7.501891,6.079339,-8.634181,5.99153,0.0486947168875774,1
My Way,151.99908088235293,1.3808986,0.095673904,0.032676898,0.18069263,0.29565054,0.26656744,1501.2560494192967,23.786701629764185,3312.2216381155667,0.005147745,-213.14177,70.60319,112.44234,25.983881,15.571584,27.654194,54.120453,19.394413,0.5004686,17.85115,21.856153,11.333235,4.645301,11.975279,9.679132,9.98529,-4.913036,9.450862,0.0058833733,11.390298,-1.7020655,8.48789,9.352095,9.126501,-5.2096586,9.225334,0.04907906830495356,1
Devil In a New Dress,80.74951171875,1.4476357,0.24001679,0.0731974,0.45373648,0.35271826,0.2855183,2394.5238093512057,24.929077647767812,5226.8933936907415,0.016831921,-63.53683,63.92901,77.57292,25.307781,-4.716232,19.466545,28.08984,18.190155,17.04125,11.905407,17.334347,10.864539,1.2823611,10.213609,9.037796,8.740166,-0.6153226,8.755985,9.857133,9.265072,5.4095397,8.387713,10.496226,9.739924,3.8384001,11.051712,0.08779878882062693,1
